التصنيف,المستوى,السؤال,الإجابة,الموضوع
جغرافيا ومعالم,تعجيزي,أيّ دولة كانت تُعرف عند العرب بـ«بلاد الكرج»؟,جورجيا,الموسوعة ص431
جغرافيا ومعالم,صعب,أيّ مدينة سورية تُلقّب بـ«مدينة أبي الفداء»؟,حماة,الموسوعة ص433
جغرافيا ومعالم,تعجيزي,أيّ دولة أفريقية كانت تُعرف باسم «نياسالاند»؟,مالاوي,الموسوعة ص433
جغرافيا ومعالم,صعب,ما الاسم الروماني القديم لمدينة باريس؟,لوتيسيا,الموسوعة ص433
تاريخ وحضارات,صعب,أيّ بحّار برتغالي دار حول رأس الرجاء الصالح لأوّل مرّة سنة 1488؟,بارتولوميو دياز,الموسوعة ص437
تاريخ وحضارات,صعب,في أيّ بلد عربي نشأت الحركة السنوسية؟,ليبيا,الموسوعة ص437
تاريخ وحضارات,صعب,من أصغر رئيس أمريكي انتُخب للرئاسة؟,جون كينيدي,الموسوعة ص437
تاريخ وحضارات,صعب,من أوّل رئيس أمريكي سكن البيت الأبيض؟,جون آدامز,الموسوعة ص437
تاريخ وحضارات,صعب,في أيّ بلد قامت دولة الأغالبة؟,تونس,الموسوعة ص438
تاريخ وحضارات,متوسط,من الرئيس الأمريكي الذي قاد قوات الحلفاء في أوروبا خلال الحرب العالمية الثانية قبل رئاسته؟,أيزنهاور,الموسوعة ص438
تاريخ وحضارات,تعجيزي,من قائد أوّل حملة استطلاعية للمسلمين على الأندلس قبل طارق بن زياد؟,طريف بن مالك,الموسوعة ص438
تاريخ وحضارات,صعب,من الخليفة العباسي الذي أنهى محنة خلق القرآن وأعاد الأمر إلى أهل السنة؟,المتوكل,الموسوعة ص438
تاريخ وحضارات,متوسط,ما الاسم الذي كانت تُعرف به الإمارات قبل اتحادها سنة 1971؟,الإمارات المتصالحة,الموسوعة ص438
حضارات قديمة,متوسط,من الملك الذي يُعدّ أوّل فراعنة مصر وموحّدها؟,مينا (نارمر),الموسوعة ص439
تاريخ وحضارات,صعب,أيّ جنرال بريطاني دخل القدس سنة 1917 ونُسب إليه قول «الآن انتهت الحروب الصليبية»؟,اللنبي,الموسوعة ص439
دين وسيرة,صعب,من العابد الزاهد الذي كان قاطع طريق ثم تاب وصار من كبار علماء الحرم؟,الفضيل بن عياض,الموسوعة ص439
تاريخ وحضارات,متوسط,أيّ دولة آسيوية هزمت روسيا في حرب 1904–1905؟,اليابان,الموسوعة ص440
تاريخ وحضارات,صعب,ما الدولة التي حكمت مصر بين الطولونيين والفاطميين؟,الإخشيدية,الموسوعة ص441
تاريخ وحضارات,متوسط,في أيّ بلد قامت دولة الأدارسة؟,المغرب,الموسوعة ص441
تاريخ وحضارات,صعب,أيّ دولة أوروبية احتلت البحرين في القرن السادس عشر نحو ثمانين عاماً؟,البرتغال,الموسوعة ص441
تاريخ وحضارات,صعب,أيّ أسرة سيطرت على بغداد والخلفاء العباسيين بين سنتي 334 و447هـ؟,البويهيون,الموسوعة ص441
الصحابة والتابعون,صعب,من القائد الذي فتح سمرقند سنة 93هـ؟,قتيبة بن مسلم,الموسوعة ص442
تاريخ وحضارات,تعجيزي,من مؤسّس الدولة الطاهرية في خراسان؟,طاهر بن الحسين,الموسوعة ص442
تاريخ وحضارات,صعب,ما المعركة التي انتصر فيها المغاربة على البرتغاليين سنة 1578 وتُعرف بمعركة الملوك الثلاثة؟,وادي المخازن,الموسوعة ص442
تاريخ وحضارات,تعجيزي,ماذا يعني لقب «هيلا سيلاسي» إمبراطور إثيوبيا؟,قوّة الثالوث,الموسوعة ص442
تاريخ وحضارات,صعب,من آخر ملوك أفغانستان؟,محمد ظاهر شاه,الموسوعة ص442
تاريخ وحضارات,صعب,ما عاصمة الدولة العثمانية قبل فتح القسطنطينية؟,أدرنة,الموسوعة ص443
تاريخ وحضارات,تعجيزي,ما ترتيب محمد الفاتح بين سلاطين الدولة العثمانية؟,السابع,الموسوعة ص443
تاريخ وحضارات,تعجيزي,من أوّل رئيس لجمهورية الهند بعد الاستقلال؟,راجندرا براساد,الموسوعة ص444
تاريخ وحضارات,صعب,من القائد البريطاني الذي انتصر في معركة الطرف الأغر البحرية سنة 1805 وقُتل فيها؟,نيلسون,الموسوعة ص445
تاريخ وحضارات,متوسط,ما الاسم الحقيقي لصلاح الدين الأيوبي؟,يوسف بن أيوب,الموسوعة ص446
تقنية ومنوعات,صعب,في أيّ يوم من السنة يُحتفل بيوم الأمم المتحدة؟,24 أكتوبر,الموسوعة ص446
تاريخ وحضارات,تعجيزي,من أوّل امرأة عربية حصلت على رخصة قيادة الطائرات سنة 1933؟,لطفية النادي,الموسوعة ص447
تاريخ وحضارات,صعب,من أوّل مستشار لألمانيا الغربية بعد الحرب العالمية الثانية؟,كونراد أديناور,الموسوعة ص447
تاريخ وحضارات,متوسط,ما اسم الثورة التي قامت في مصر ضد الخديوي والتدخّل الأجنبي سنة 1881؟,الثورة العرابية,الموسوعة ص447
تاريخ وحضارات,متوسط,في أيّ عام غزا نابليون مصر؟,1798,الموسوعة ص448
تاريخ وحضارات,صعب,ما الاسم العربي لمدينة إيلات قبل احتلالها سنة 1949؟,أمّ الرشراش,الموسوعة ص448
تاريخ وحضارات,متوسط,ما ثاني دولة فجّرت قنبلة نووية بعد الولايات المتحدة؟,الاتحاد السوفيتي,الموسوعة ص448
جغرافيا ومعالم,صعب,ما الاسم الذي حملته بليز حتى سنة 1973؟,هندوراس البريطانية,الموسوعة ص449
تاريخ وحضارات,متوسط,في أيّ عام توفي الملك حسين بن طلال؟,1999,الموسوعة ص449
تاريخ وحضارات,متوسط,من أوّل امرأة تولّت رئاسة وزراء الهند؟,أنديرا غاندي,الموسوعة ص450
تاريخ وحضارات,متوسط,في أيّ عام استقلّ السودان؟,1956,الموسوعة ص451
تاريخ وحضارات,صعب,كم سنة دام الاستعمار الفرنسي للجزائر؟,132 سنة,الموسوعة ص451
تاريخ وحضارات,صعب,من أوّل رئيس لمنظمة التحرير الفلسطينية سنة 1964؟,أحمد الشقيري,الموسوعة ص452
أدب وفنون,صعب,من مؤلّف كتاب «طبائع الاستبداد ومصارع الاستعباد»؟,عبد الرحمن الكواكبي,الموسوعة ص452
تاريخ وحضارات,متوسط,من مؤسّس الحركة الصهيونية صاحب كتاب «الدولة اليهودية»؟,تيودور هرتزل,الموسوعة ص453
تاريخ وحضارات,صعب,ما أوّل دولة عربية انضمّت إلى عصبة الأمم سنة 1932؟,العراق,الموسوعة ص454
تاريخ وحضارات,صعب,ما اسم الثورة التي اندلعت في فلسطين سنة 1929 بسبب الخلاف على الحائط الغربي للمسجد الأقصى؟,ثورة البراق,الموسوعة ص454
تاريخ وحضارات,متوسط,من تولّى حكم السعودية بعد اغتيال الملك فيصل؟,الملك خالد بن عبد العزيز,الموسوعة ص457
تاريخ وحضارات,متوسط,في أيّ عام وُقّعت اتفاقية كامب ديفيد بين مصر وإسرائيل؟,1978,الموسوعة ص457
تاريخ وحضارات,صعب,ما المعركة التي هزم فيها العثمانيون المماليك قرب حلب سنة 1516؟,مرج دابق,الموسوعة ص466
تاريخ وحضارات,صعب,كم سنة حكم الحجّاج بن يوسف العراق تقريباً؟,عشرون سنة,الموسوعة ص466
تاريخ وحضارات,متوسط,في أيّ عام أُعيد توحيد ألمانيا الشرقية والغربية؟,1990,الموسوعة ص467
تاريخ وحضارات,صعب,ما اسم الثغرة التي عبرت منها القوات الإسرائيلية إلى غرب قناة السويس في حرب 1973؟,الدفرسوار,الموسوعة ص467
تاريخ وحضارات,تعجيزي,من الوسيط السويدي الذي عيّنته الأمم المتحدة في فلسطين واغتالته عصابة صهيونية سنة 1948؟,الكونت برنادوت,الموسوعة ص468
تاريخ وحضارات,صعب,ماذا يُسمّى يهود إسبانيا والبرتغال والشرق تمييزاً لهم عن يهود أوروبا الشرقية؟,السفارديم,الموسوعة ص469
تاريخ وحضارات,صعب,من رئيس أركان الجيش الإسرائيلي في حرب 1967 الذي صار لاحقاً رئيساً للوزراء؟,إسحاق رابين,الموسوعة ص470
تاريخ وحضارات,متوسط,من الرئيس الأمريكي الوحيد الذي استقال من منصبه بعد فضيحة ووترغيت؟,ريتشارد نيكسون,الموسوعة ص470
تاريخ وحضارات,متوسط,من القائد الملقّب بـ«محرّر أمريكا الجنوبية» وسُمّيت دولة باسمه؟,سيمون بوليفار,الموسوعة ص471
تاريخ وحضارات,صعب,في عهد أيّ رئيس أمريكي وقعت فضيحة «إيران كونترا»؟,رونالد ريغان,الموسوعة ص471
تاريخ وحضارات,متوسط,من مؤسّس دولة باكستان الحديثة؟,محمد علي جناح,الموسوعة ص471
تاريخ وحضارات,صعب,ما المعركة التي انتصر فيها السلاجقة على البيزنطيين سنة 1071 وأسروا إمبراطورهم؟,ملاذكرد,الموسوعة ص472
حضارات قديمة,صعب,من قائد الإسكندر الذي حكم مصر بعد وفاته وأسّس دولة البطالمة؟,بطليموس الأول,الموسوعة ص473
حضارات قديمة,تعجيزي,من المهندس الذي خطّط مدينة الإسكندرية للإسكندر الأكبر؟,دينوقراطيس,الموسوعة ص473
تاريخ وحضارات,متوسط,من أوّل رئيس لليمن بعد توحيد شطريه سنة 1990؟,علي عبد الله صالح,الموسوعة ص475
حضارات قديمة,تعجيزي,ما اسم المرسوم الذي أصدره قسطنطين سنة 313م وأباح فيه المسيحية في الإمبراطورية الرومانية؟,مرسوم ميلانو,الموسوعة ص475
حضارات قديمة,متوسط,من إلهة الحبّ والجمال عند الإغريق؟,أفروديت,الموسوعة ص477
حضارات قديمة,صعب,من الملك المقدوني الذي وحّد الإغريق ومهّد لابنه الإسكندر؟,فيليب الثاني,الموسوعة ص478
حضارات قديمة,صعب,من إلهة الأمومة والحبّ والموسيقى عند المصريين القدماء التي تُصوَّر برأس بقرة؟,حتحور,الموسوعة ص479
حضارات قديمة,تعجيزي,ما اسم القرية التي أُقيمت مكانها مدينة الإسكندرية؟,راقودة,الموسوعة ص479
تاريخ وحضارات,تعجيزي,من مؤسّس الدولة الغزنوية؟,سبكتكين,الموسوعة ص479
تاريخ وحضارات,صعب,ما أوّل دولة أوروبية احتلت أجزاء من الهند في القرن السادس عشر؟,البرتغال,الموسوعة ص479
تاريخ وحضارات,تعجيزي,من أوّل سلطان عثماني حاصر القسطنطينية قبل الفاتح بنحو ستين عاماً؟,بايزيد الأول,الموسوعة ص480
تاريخ وحضارات,صعب,من أوّل سلطان عثماني حمل لقب الخليفة بعد فتحه مصر سنة 1517؟,سليم الأول,الموسوعة ص480
تاريخ وحضارات,متوسط,من أوّل رئيس لأفغانستان بعد سقوط حكم طالبان سنة 2001؟,حامد كرزاي,الموسوعة ص480
تاريخ وحضارات,متوسط,ما عاصمة الأندلس في عهد الخلافة الأموية؟,قرطبة,الموسوعة ص480
تاريخ وحضارات,سهل,أيّ دولة إسلامية تأسّست سنة 1947 بانفصالها عن الهند؟,باكستان,الموسوعة ص481
تاريخ وحضارات,تعجيزي,من أوّل سلاطين دولة المماليك البرجية (الجراكسة)؟,برقوق,الموسوعة ص481
تاريخ وحضارات,صعب,من الخليفة العباسي الذي تزوّج قطر الندى بنت خمارويه؟,المعتضد,الموسوعة ص482
تاريخ وحضارات,تعجيزي,من مؤسّس الدولة الإخشيدية في مصر؟,محمد بن طغج,الموسوعة ص482
تاريخ وحضارات,تعجيزي,من ألقى أوّل خطبة جمعة في المسجد الأقصى بعد أن حرّره صلاح الدين؟,محيي الدين بن الزكي,الموسوعة ص483
تاريخ وحضارات,صعب,من أوّل سلاطين دولة المماليك البحرية؟,عزّ الدين أيبك,الموسوعة ص483
تاريخ وحضارات,متوسط,من مؤسّس الدولة الطولونية في مصر؟,أحمد بن طولون,الموسوعة ص484
تاريخ وحضارات,متوسط,من القائد الذي أرسل طارق بن زياد لفتح الأندلس ثم لحق به؟,موسى بن نصير,الموسوعة ص485
تاريخ وحضارات,صعب,أين دُفن الخليفة أبو جعفر المنصور؟,مكة,الموسوعة ص485
تاريخ وحضارات,تعجيزي,من قائد ثورة التوّابين سنة 65هـ؟,سليمان بن صرد الخزاعي,الموسوعة ص486
تاريخ وحضارات,صعب,من الخليفة الأموي الذي بنى الجامع الأموي بدمشق؟,الوليد بن عبد الملك,الموسوعة ص486
تاريخ وحضارات,صعب,من القائد الأموي الذي حاصر القسطنطينية في عهد سليمان بن عبد الملك؟,مسلمة بن عبد الملك,الموسوعة ص486
السيرة النبوية,متوسط,في أيّ غزوة قال النبي ﷺ: «أنا النبيّ لا كذب، أنا ابن عبد المطلب»؟,حنين,الموسوعة ص488
الصحابة والتابعون,صعب,من قائد المسلمين في معركة «ذات السلاسل» ضد الفرس سنة 12هـ؟,خالد بن الوليد,الموسوعة ص489
السيرة النبوية,صعب,إلى أيّ مدينة في الشام وصل النبي ﷺ في رحلته الأولى مع عمّه أبي طالب؟,بصرى,الموسوعة ص489
الصحابة والتابعون,تعجيزي,من مولاة الصحابي خبّاب بن الأرتّ التي كانت تعذّبه في مكة؟,أمّ أنمار,الموسوعة ص490
دين وسيرة,صعب,في أيّ مدينة أندلسية وُلد الإمام ابن حزم الظاهري؟,قرطبة,الموسوعة ص492
تاريخ وحضارات,صعب,ما المعركة التي قاتل فيها عليّ بن أبي طالب الخوارج سنة 38هـ؟,النهروان,الموسوعة ص501
تاريخ وحضارات,صعب,من مؤسّس فرقة المعتزلة الذي اعتزل حلقة الحسن البصري؟,واصل بن عطاء,الموسوعة ص501
تاريخ وحضارات,صعب,من الرئيس الفرنسي الذي خلف ديغول سنة 1969؟,جورج بومبيدو,الموسوعة ص502
تاريخ وحضارات,صعب,ما المعركة البحرية التي دمّر فيها نيلسون أسطول نابليون قرب الإسكندرية سنة 1798؟,أبو قير,الموسوعة ص503
تاريخ وحضارات,تعجيزي,ماذا سمّى الجنود حقول الألغام الهائلة التي زرعها روميل في العلمين؟,حدائق الشيطان,الموسوعة ص503
تاريخ وحضارات,متوسط,على من كان يُطلق لقب «التبابعة»؟,ملوك اليمن,الموسوعة ص503
السيرة النبوية,متوسط,ما اسم الدار التي كانت تجتمع فيها قريش للتشاور في مكة؟,دار الندوة,الموسوعة ص504
تاريخ وحضارات,صعب,ماذا كان يُسمّى غير العرب الذين أسلموا في العصر الأموي؟,الموالي,الموسوعة ص504
تاريخ وحضارات,صعب,في أيّ دولة وُلد أدولف هتلر؟,النمسا,الموسوعة ص504
تاريخ وحضارات,صعب,ماذا سُمّي المسلمون الذين بقوا في إسبانيا بعد سقوط الأندلس وأُكرهوا على التنصّر؟,الموريسكيون,الموسوعة ص505
تاريخ وحضارات,صعب,ما أوّل مدينة عربية احتلّها الأوروبيون في العصر الحديث سنة 1415؟,سبتة,الموسوعة ص505
حضارات قديمة,متوسط,في أيّ دولة اليوم تقع أطلال مدينة طروادة؟,تركيا,الموسوعة ص505
السيرة النبوية,تعجيزي,ما أقدم أصنام العرب في الجاهلية على قول المؤرّخين؟,مناة,الموسوعة ص506
السيرة النبوية,صعب,من جدّ النبي ﷺ الذي سنّ لقريش رحلتي الشتاء والصيف؟,هاشم بن عبد مناف,الموسوعة ص506
معالم,صعب,في أيّ دولة خليجية تقع قلعة عراد الأثرية؟,البحرين,الموسوعة ص507
تاريخ وحضارات,متوسط,من زعيم المسلمين السود في أمريكا الذي اغتيل سنة 1965؟,مالكولم إكس,الموسوعة ص508
تاريخ وحضارات,صعب,ما اسم المسيرة التي قادها غاندي سنة 1930 احتجاجاً على ضريبة بريطانية؟,مسيرة الملح,الموسوعة ص509
تاريخ وحضارات,صعب,ماذا كان يُسمّى مقرّ هتلر الحربي في بروسيا الشرقية؟,عرين الذئب,الموسوعة ص510
تاريخ وحضارات,صعب,ما عاصمة الدولة الحمدانية التي حكمها سيف الدولة؟,حلب,الموسوعة ص512
تاريخ وحضارات,متوسط,متى وقعت معركة العلمين في الحرب العالمية الثانية؟,1942,الموسوعة ص512
تاريخ وحضارات,صعب,ما اسم الاتفاقية التي أنهت حرب الجزائر ومهّدت لاستقلالها سنة 1962؟,اتفاقية إيفيان,الموسوعة ص513
تاريخ وحضارات,متوسط,من مؤسّس الدولة الأموية في الأندلس الملقّب بصقر قريش؟,عبد الرحمن الداخل,الموسوعة ص514
تاريخ وحضارات,تعجيزي,ما المعركة التي شارك فيها ابن تيمية ضد التتار قرب دمشق سنة 702هـ؟,شقحب,الموسوعة ص514
طب وصحة,صعب,من العالم الأمريكي الذي طوّر أوّل لقاح ناجح لشلل الأطفال سنة 1955؟,جوناس سالك,الموسوعة ص963
علوم واختراعات,صعب,من العالم السويدي الذي وضع مقياس الحرارة المئوي وسُمّي باسمه؟,أندرس سلزيوس,الموسوعة ص964
تاريخ وحضارات,متوسط,من البحّار البريطاني الذي وصل إلى الساحل الشرقي لأستراليا سنة 1770؟,جيمس كوك,الموسوعة ص965
علوم واختراعات,تعجيزي,من الكيميائي الإنجليزي الذي عزل الصوديوم والبوتاسيوم بالتحليل الكهربائي؟,همفري ديفي,الموسوعة ص965
علوم واختراعات,صعب,من العالم الاسكتلندي الذي طوّر الرادار العملي قبيل الحرب العالمية الثانية؟,روبرت واتسون وات,الموسوعة ص965
علوم واختراعات,تعجيزي,من الفرنسي الذي اخترع مصباح النيون سنة 1910؟,جورج كلود,الموسوعة ص966
علوم واختراعات,صعب,من مخترع مكيّف الهواء الحديث سنة 1902؟,ويليس كارير,الموسوعة ص966
علوم واختراعات,صعب,من الكيميائي الفرنسي صاحب قانون حفظ الكتلة الذي أُعدم في الثورة الفرنسية؟,لافوازييه,الموسوعة ص967
علوم واختراعات,صعب,من العالم النيوزيلندي الملقّب بأبي الفيزياء النووية الذي اكتشف نواة الذرة؟,إرنست رذرفورد,الموسوعة ص967
علوم واختراعات,تعجيزي,من العالم الإنجليزي الذي اكتشف غاز الهيدروجين سنة 1766؟,هنري كافنديش,الموسوعة ص967
أحياء وفلك,تعجيزي,من العالم الفرنسي الذي تنبّأ بوجود كوكب نبتون بالحساب قبل رصده؟,أوربان لوفيرييه,الموسوعة ص969
علوم واختراعات,متوسط,من المهندس الإنجليزي رائد السكك الحديدية وصانع القاطرة «الصاروخ»؟,جورج ستيفنسون,الموسوعة ص971
علوم واختراعات,صعب,من مخترع المسدس الدوّار سنة 1836؟,صامويل كولت,الموسوعة ص971
طب وصحة,صعب,أيّ عالم كيميائي وصف عمى الألوان أوّل مرّة حتى سُمّي المرض باسمه؟,جون دالتون,الموسوعة ص973
تاريخ وحضارات,صعب,من الفايكنغ الذي استوطن غرينلاند وأعطاها اسمها «الأرض الخضراء»؟,إيريك الأحمر,الموسوعة ص975
تاريخ وحضارات,صعب,من البحّار البرتغالي الذي وصل إلى البرازيل سنة 1500؟,بيدرو كابرال,الموسوعة ص975
علوم واختراعات,صعب,من المهندس الألماني الذي بنى أوّل محرّك احتراق داخلي رباعي الأشواط؟,نيكولاوس أوتو,الموسوعة ص977
علوم واختراعات,تعجيزي,من الياباني الذي ابتكر زراعة اللؤلؤ الصناعي؟,كوكيتشي ميكيموتو,الموسوعة ص978
طب وصحة,تعجيزي,من الطبيب الهولندي الذي اخترع أوّل كلية صناعية سنة 1943؟,فيلم كولف,الموسوعة ص979
علوم واختراعات,صعب,من الفرنسي الذي ابتكر أوّل طريقة عملية للتصوير الفوتوغرافي سنة 1839؟,لويس داجير,الموسوعة ص976
علوم واختراعات,صعب,من العالم الألماني الذي صمّم صاروخ V-2 ثم قاد تطوير صواريخ ساتورن الأمريكية؟,فيرنر فون براون,الموسوعة ص962
علوم واختراعات,متوسط,من الفرنسي الذي صنع أوّل آلة حاسبة ميكانيكية سنة 1642؟,بليز باسكال,الموسوعة ص963
علوم واختراعات,متوسط,من مخترع طريقة الكتابة بالنقاط البارزة للمكفوفين؟,لويس بريل,الموسوعة ص982
تاريخ وحضارات,صعب,من مؤسّس الحركة الكشفية العالمية؟,روبرت بادن باول,الموسوعة ص982
تاريخ وحضارات,صعب,من المستكشف الأمريكي الذي يُنسب إليه أوّل وصول إلى القطب الشمالي سنة 1909؟,روبرت بيري,الموسوعة ص983
الزمن الجميل,صعب,من الثنائي الذي ابتكر شخصيتي «توم وجيري»؟,هانا وباربيرا,الموسوعة ص983
علوم واختراعات,صعب,ما اسم الجهاز الذي يقيس الإشعاع النووي وسُمّي باسم مخترعه الألماني؟,عدّاد غايغر,الموسوعة ص984
علوم واختراعات,صعب,من الفيزيائي الألماني الذي أثبت وجود الموجات الكهرومغناطيسية وسُمّيت وحدة التردّد باسمه؟,هاينريش هرتز,الموسوعة ص984
علوم واختراعات,صعب,من الفيزيائي الألماني الذي وضع نظرية الكمّ سنة 1900؟,ماكس بلانك,الموسوعة ص985
تاريخ وحضارات,صعب,من المستكشف الاسكتلندي الذي وصل إلى شلالات فيكتوريا وسمّاها باسم ملكته؟,ديفيد ليفنغستون,الموسوعة ص985
علوم واختراعات,سهل,أيّ شعب اخترع البارود؟,الصينيون,الموسوعة ص983
لغة عربية,متوسط,ماذا يُسمّى الحديث في الليل؟,السَّمَر,الموسوعة ص581
لغة عربية,متوسط,ما اسم صوت الشاة؟,الثُّغاء,الموسوعة ص582
لغة عربية,صعب,ما اسم ذكر النعام؟,الظليم,الموسوعة ص583
لغة عربية,تعجيزي,ماذا يُسمّى البيت الشعري الواحد الذي ينظمه الشاعر وحده بلا قصيدة؟,اليتيم,الموسوعة ص583
لغة عربية,صعب,ماذا يُسمّى أوّل الفاكهة في موسمها؟,الباكورة,الموسوعة ص590
لغة عربية,صعب,ماذا يُسمّى الماء إذا تغيّر طعمه ورائحته فلا يُشرب؟,الآسن,الموسوعة ص590
أدب وفنون,صعب,من الشاعر المصري الملقّب بـ«شاعر السيف والقلم» ورائد مدرسة الإحياء؟,محمود سامي البارودي,الموسوعة ص590
لغة عربية,تعجيزي,ما اسم صغير الثعلب؟,الهِجرس,الموسوعة ص590
لغة عربية,تعجيزي,ما معنى كلمة «الأيامى» في قوله تعالى «وأنكحوا الأيامى منكم»؟,من لا زوج له من الرجال والنساء,الموسوعة ص591
لغة عربية,تعجيزي,ماذا يُسمّى أوّل الشرب؟,النَّهَل,الموسوعة ص591
لغة عربية,متوسط,ماذا يُسمّى أوّل أولاد الإنسان؟,البِكر,الموسوعة ص591
لغة عربية,متوسط,ماذا يُسمّى الماء العذب الصافي البارد؟,الزُّلال,الموسوعة ص591
أدب وفنون,صعب,ما الاسم الحقيقي للشاعرة الخنساء؟,تماضر بنت عمرو,الموسوعة ص592
أدب وفنون,صعب,من الشاعر الجاهلي الذي حمل إلى عامل البحرين كتاباً فيه أمر بقتله فقُتل؟,طرفة بن العبد,الموسوعة ص592
لغة عربية,تعجيزي,ماذا تُسمّى الجماعة من الحمير؟,العانة,الموسوعة ص592
لغة عربية,صعب,ما معنى كلمة «القهرمانة»؟,مدبّرة شؤون البيت,الموسوعة ص598
لغة عربية,صعب,ما «النيّران» في كلام العرب؟,الشمس والقمر,الموسوعة ص599
لغة عربية,صعب,ماذا تُسمّى رائحة فم الصائم التي وردت في الحديث؟,الخُلوف,الموسوعة ص599
لغة عربية,متوسط,ماذا تُسمّى الجماعة من الفرسان؟,الكوكبة,الموسوعة ص599
لغة عربية,متوسط,ماذا يُسمّى طرف الأنف؟,الأرنبة,الموسوعة ص599
الفقه والعبادات,متوسط,ما الميتتان اللتان أُحلّتا للمسلمين؟,السمك والجراد,الموسوعة ص600
الفقه والعبادات,صعب,ما الدمان اللذان أُحلّا للمسلمين؟,الكبد والطحال,الموسوعة ص600
لغة عربية,تعجيزي,ما معنى كلمة «الغَسَق»؟,ظلمة أوّل الليل,الموسوعة ص601
لغة عربية,صعب,ما اسم أنثى الحمار؟,الأتان,الموسوعة ص601
لغة عربية,سهل,ماذا يُسمّى طعام العرس؟,الوليمة,الموسوعة ص604
لغة عربية,متوسط,ماذا يُسمّى الطعام الذي يُصنع لدعوة الناس؟,المأدبة,الموسوعة ص604
لغة عربية,صعب,ماذا يُسمّى طعام الضيف عند العرب؟,القِرى,الموسوعة ص604
لغة عربية,تعجيزي,الطعام الذي يُصنع للقادم من السفر — ماذا يُسمّى؟,النقيعة,الموسوعة ص604
لغة عربية,تعجيزي,الطعام الذي يُصنع عند الفراغ من بناء البيت — ماذا يُسمّى؟,الوكيرة,الموسوعة ص604
لغة عربية,تعجيزي,ماذا يُسمّى الطعام الذي يُصنع عند الولادة؟,الخُرس,الموسوعة ص604
لغة عربية,صعب,ما اسم صوت السيوف عند التقائها؟,الصليل,الموسوعة ص605
لغة عربية,صعب,ما اسم الصوت الذي يتردّد في صدر المحتضر؟,الحشرجة,الموسوعة ص605
لغة عربية,متوسط,ما اسم صوت الدجاجة؟,النقنقة,الموسوعة ص606
لغة عربية,صعب,ما اسم ذكر الأفعى؟,الأفعوان,الموسوعة ص607
لغة عربية,متوسط,ماذا تُسمّى عبارة «لا حول ولا قوّة إلا بالله» اختصاراً؟,الحوقلة,الموسوعة ص608
لغة عربية,تعجيزي,ما اسم صغير الخنزير؟,الخِنّوص,الموسوعة ص608
لغة عربية,صعب,ما كنية الثعلب عند العرب؟,أبو الحصين,الموسوعة ص609
لغة عربية,صعب,ما كنية الأسد عند العرب؟,أبو الحارث,الموسوعة ص609
لغة عربية,تعجيزي,ما كنية الذئب عند العرب؟,أبو جعدة,الموسوعة ص609
لغة عربية,تعجيزي,ما كنية الضبّ عند العرب؟,أبو الحِسل,الموسوعة ص608
لغة عربية,صعب,ماذا يُسمّى العنب قبل نضجه؟,الحِصرم,الموسوعة ص609
لغة عربية,صعب,ماذا تُسمّى مشية المتكبّر؟,الاختيال,الموسوعة ص610
لغة عربية,سهل,ماذا يُسمّى مشي الرضيع على يديه وركبتيه؟,الحبو,الموسوعة ص611
لغة عربية,متوسط,ماذا تُسمّى مقدّمة الجيش؟,الطليعة,الموسوعة ص611
لغة عربية,تعجيزي,ماذا يُسمّى أوّل اللبن بعد الولادة؟,اللِّبأ,الموسوعة ص611
لغة عربية,متوسط,ماذا يُسمّى النوم الخفيف؟,الإغفاء,الموسوعة ص616
لغة عربية,صعب,ماذا تُسمّى خدمة الكعبة وحمل مفتاحها؟,السدانة,الموسوعة ص616
لغة عربية,تعجيزي,ماذا يقصد العرب بقولهم «بنات الصدر»؟,الهموم,الموسوعة ص616
لغة عربية,سهل,ماذا يُسمّى تشهّي الحامل لأطعمة بعينها؟,الوَحَم,الموسوعة ص619
لغة عربية,صعب,ماذا يُسمّى الكيّ بعلامة على جلد الإبل لتُعرف؟,الوسم,الموسوعة ص620
لغة عربية,صعب,ماذا يُسمّى أثر الجرح بعد التئامه؟,النَّدَب,الموسوعة ص620
لغة عربية,متوسط,ماذا يُسمّى شعر مقدّم الرأس؟,الناصية,الموسوعة ص620
لغة عربية,متوسط,ماذا كانت تعني كلمة «الصعلوك» عند العرب؟,الفقير,الموسوعة ص583
لغة عربية,صعب,من هم «أهل المدر» في كلام العرب؟,سكّان المدن والبيوت المبنيّة,الموسوعة ص583
لغة عربية,صعب,ماذا يُسمّى الكلام الأعجمي الذي لا يفهمه العرب؟,الرطانة,الموسوعة ص620
لغة عربية,تعجيزي,ماذا تُسمّى المائدة إذا لم يكن عليها طعام؟,الخِوان,الموسوعة ص621
لغة عربية,متوسط,ماذا تُسمّى العصا الغليظة الضخمة؟,الهراوة,الموسوعة ص621
لغة عربية,صعب,ماذا يُسمّى المال المدفون في الأرض من دفن الجاهلية؟,الرِّكاز,الموسوعة ص623
لغة عربية,تعجيزي,ماذا يُسمّي العرب المال الموروث عن الآباء؟,التليد,الموسوعة ص623
لغة عربية,صعب,ماذا يُسمّى الجمال في الوجه خاصّة؟,الصباحة,الموسوعة ص623
لغة عربية,تعجيزي,ماذا يُسمّي العرب المال إذا كان ذهباً وفضّة لا ماشية؟,الصامت,الموسوعة ص623
